,age,year,job salary low,job salary high,total low,total high
0,37,2022,87215.50275709218,103249.10735381348,87138.55051333719,103216.08797911154
1,38,2023,89646.07636622731,106623.44654362237,89648.06737327059,106546.42424071758
2,39,2024,92063.65137513765,110055.84084796316,92004.0425027123,109993.27421116536
3,40,2025,94650.37349036058,113884.65593498164,94518.60846806363,113805.84320523786
4,41,2026,97333.30917165472,117482.95865060478,97414.0022994889,117551.76974152504
5,42,2027,100088.4784002825,121286.69689868936,100256.08337175586,121396.5433927603
6,43,2028,102886.31718120274,125100.7531478321,102917.1106225,125233.48234743092
7,44,2029,105778.31262522902,129185.72588156855,105866.37169137184,129075.68500042093
8,45,2030,108653.17677123971,133080.52220866288,108788.32606550437,133277.07712879564
9,46,2031,111755.78235298031,137738.32967665602,111520.79734853136,137640.27026521796
10,47,2032,114825.69216161224,142059.41833077566,114639.12869859904,142317.95491080332
11,48,2033,117842.64508500074,146762.63709768475,117794.6863646107,146779.94791822738
12,49,2034,120844.63346629831,151286.0797967363,120895.07830379979,151439.41903126249
13,50,2035,0.0,0.0,0.0,0.0
14,51,2036,0.0,0.0,0.0,0.0
15,52,2037,0.0,0.0,0.0,0.0
16,53,2038,0.0,0.0,0.0,0.0
17,54,2039,0.0,0.0,0.0,0.0
18,55,2040,0.0,0.0,0.0,0.0
19,56,2041,0.0,0.0,0.0,0.0
20,57,2042,0.0,0.0,0.0,0.0
21,58,2043,0.0,0.0,0.0,0.0
22,59,2044,0.0,0.0,0.0,0.0
23,60,2045,0.0,0.0,0.0,0.0
24,61,2046,0.0,0.0,0.0,0.0
25,62,2047,0.0,0.0,0.0,0.0
26,63,2048,0.0,0.0,0.0,0.0
27,64,2049,0.0,0.0,0.0,0.0
28,65,2050,0.0,0.0,0.0,0.0
29,66,2051,0.0,0.0,0.0,0.0
30,67,2052,0.0,0.0,0.0,0.0
31,68,2053,0.0,0.0,0.0,0.0
32,69,2054,0.0,0.0,0.0,0.0
33,70,2055,0.0,0.0,0.0,0.0
34,71,2056,0.0,0.0,0.0,0.0
35,72,2057,0.0,0.0,0.0,0.0
36,73,2058,0.0,0.0,0.0,0.0
37,74,2059,0.0,0.0,0.0,0.0
38,75,2060,0.0,0.0,0.0,0.0
39,76,2061,0.0,0.0,0.0,0.0
40,77,2062,0.0,0.0,0.0,0.0
41,78,2063,0.0,0.0,0.0,0.0
42,79,2064,0.0,0.0,0.0,0.0
43,80,2065,0.0,0.0,0.0,0.0
44,81,2066,0.0,0.0,0.0,0.0
45,82,2067,0.0,0.0,0.0,0.0
46,83,2068,0.0,0.0,0.0,0.0
47,84,2069,0.0,0.0,0.0,0.0
48,85,2070,0.0,0.0,0.0,0.0
49,86,2071,0.0,0.0,0.0,0.0
50,87,2072,0.0,0.0,0.0,0.0
51,88,2073,0.0,0.0,0.0,0.0
52,89,2074,0.0,0.0,0.0,0.0
53,90,2075,0.0,0.0,0.0,0.0
54,91,2076,0.0,0.0,0.0,0.0
55,92,2077,0.0,0.0,0.0,0.0
56,93,2078,0.0,0.0,0.0,0.0
57,94,2079,0.0,0.0,0.0,0.0
58,95,2080,0.0,0.0,0.0,0.0
59,96,2081,0.0,0.0,0.0,0.0
60,97,2082,0.0,0.0,0.0,0.0
61,98,2083,0.0,0.0,0.0,0.0
62,99,2084,0.0,0.0,0.0,0.0
