,age,year,brokerage account balance low,brokerage account balance high,brokerage account distribution low,brokerage account distribution high,total low,total high
0,37,2022,9812.890196445422,10993.584534417812,0.0,0.0,9820.664975433629,11001.717353467153
1,38,2023,9942.213967956788,11700.9632101338,0.0,0.0,9934.523683189744,11696.435102154557
2,39,2024,10123.79965415949,12382.494836925653,0.0,0.0,10132.768232357465,12370.144016770391
3,40,2025,31605.556928547285,38619.524194384394,0.0,0.0,31597.468656332352,38652.28465439314
4,41,2026,54360.08065895908,65597.25727255354,0.0,0.0,54351.21229031933,65660.97884390324
5,42,2027,77779.61543097018,93780.4591511151,0.0,0.0,77661.11261819549,93733.40958311832
6,43,2028,101770.14618693413,123655.50837108605,0.0,0.0,101811.78450046667,123694.49337183595
7,44,2029,126471.64733504529,155115.5265959146,0.0,0.0,126522.47519105657,155287.26350994105
8,45,2030,152224.79134965176,188534.57041309177,0.0,0.0,152605.71748953115,188559.74505971803
9,46,2031,178850.90866275996,223213.64841940763,0.0,0.0,179505.8030899439,223028.5300052385
10,47,2032,205696.4706458177,259546.4592895158,0.0,0.0,205445.6219950587,259708.34830857642
11,48,2033,234095.08276667268,297444.48832410463,0.0,0.0,233674.07771042673,297321.5332930082
12,49,2034,262607.0019679363,337721.6277575397,0.0,0.0,262795.37533266115,338137.9749954911
13,50,2035,195969.92435278327,283175.4362878144,64562.78428307502,81129.93939760682,196040.77293174274,282343.7426744737
14,51,2036,126285.62816787777,222153.7378452552,66844.44829628649,84316.78963201078,126398.95647871758,221155.90645035866
15,52,2037,51984.19133788121,155535.71241294287,69114.63638319356,86842.72218218952,51496.42954832379,154925.45297645233
16,53,2038,0.0,82009.68291124106,53619.02359911607,89280.33425387426,-396.76533066777677,81300.84787139151
17,54,2039,0.0,3646.748554651748,222.68502110640335,81336.12289134983,-11.86733299776249,3662.5304003488145
18,55,2040,0.0,0.0,-76.70002057305041,3793.9578206207725,0.0,0.0
19,56,2041,0.0,0.0,0.0,0.0,0.0,0.0
20,57,2042,0.0,0.0,0.0,0.0,0.0,0.0
21,58,2043,0.0,0.0,0.0,0.0,0.0,0.0
22,59,2044,0.0,0.0,0.0,0.0,0.0,0.0
23,60,2045,0.0,0.0,0.0,0.0,0.0,0.0
24,61,2046,0.0,0.0,0.0,0.0,0.0,0.0
25,62,2047,0.0,0.0,0.0,0.0,0.0,0.0
26,63,2048,0.0,0.0,0.0,0.0,0.0,0.0
27,64,2049,0.0,0.0,0.0,0.0,0.0,0.0
28,65,2050,0.0,0.0,0.0,0.0,0.0,0.0
29,66,2051,0.0,0.0,0.0,0.0,0.0,0.0
30,67,2052,0.0,0.0,0.0,0.0,0.0,0.0
31,68,2053,0.0,0.0,0.0,0.0,0.0,0.0
32,69,2054,0.0,0.0,0.0,0.0,0.0,0.0
33,70,2055,0.0,0.0,0.0,0.0,0.0,0.0
34,71,2056,0.0,0.0,0.0,0.0,0.0,0.0
35,72,2057,0.0,0.0,0.0,0.0,0.0,0.0
36,73,2058,0.0,0.0,0.0,0.0,0.0,0.0
37,74,2059,0.0,0.0,0.0,0.0,0.0,0.0
38,75,2060,0.0,0.0,0.0,0.0,0.0,0.0
39,76,2061,0.0,0.0,0.0,0.0,0.0,0.0
40,77,2062,0.0,0.0,0.0,0.0,0.0,0.0
41,78,2063,0.0,0.0,0.0,0.0,0.0,0.0
42,79,2064,0.0,0.0,0.0,0.0,0.0,0.0
43,80,2065,0.0,0.0,0.0,0.0,0.0,0.0
44,81,2066,0.0,0.0,0.0,0.0,0.0,0.0
45,82,2067,0.0,0.0,0.0,0.0,0.0,0.0
46,83,2068,0.0,0.0,0.0,0.0,0.0,0.0
47,84,2069,0.0,0.0,0.0,0.0,0.0,0.0
48,85,2070,0.0,0.0,0.0,0.0,0.0,0.0
49,86,2071,0.0,0.0,0.0,0.0,0.0,0.0
50,87,2072,0.0,0.0,0.0,0.0,0.0,0.0
51,88,2073,0.0,0.0,0.0,0.0,0.0,0.0
52,89,2074,0.0,0.0,0.0,0.0,0.0,0.0
53,90,2075,0.0,0.0,0.0,0.0,0.0,0.0
54,91,2076,0.0,0.0,0.0,0.0,0.0,0.0
55,92,2077,0.0,0.0,0.0,0.0,0.0,0.0
56,93,2078,0.0,0.0,0.0,0.0,0.0,0.0
57,94,2079,0.0,0.0,0.0,0.0,0.0,0.0
58,95,2080,0.0,0.0,0.0,0.0,0.0,0.0
59,96,2081,0.0,0.0,0.0,0.0,0.0,0.0
60,97,2082,0.0,0.0,0.0,0.0,0.0,0.0
61,98,2083,0.0,0.0,0.0,0.0,0.0,0.0
62,99,2084,0.0,0.0,0.0,0.0,0.0,0.0
